,lead_paragraph,headline,uplifting
539,"JOYCE--Mary Patricia (Pat) Hamill, of Ann Arbor, Michigan, formerly of Morris Plains, New Jersey, died peacefully at home on December 30, 2009 after a long illness. Beloved wife of Frank Joyce, devoted mother of Tara Joyce of Oak Park, Illinois; Frank Joyce, Jr. (Katy Van Dusen) of Monteverde, Costa Rica; Patricia Joyce (Steven J. Slack) of Ann Arbor, Michigan; and grandchildren Helen, Francis, Richard, Connor, and Devin. Pat will be greatly missed by family and friends. Born in New York in 1931, Pat was a graduate of Mt. St. Ursula Academy and graduated at age 19 from the College of New Rochelle. A memorial Mass will be held at Saint Mary's Abbey in Morristown, New Jersey at a later date. In lieu of flowers, the family asks that donations be made to the Alzheimer's Association, Saint Joseph Mercy Hospice in Ann Arbor, or The Seeing Eye in Morristown, New Jersey.","Paid Notice: Deaths  JOYCE, MARY PATRICIA (PAT) HAMILL",0
540,"Therese Bari Kolata, the daughter of Gina Kolata and William G. Kolata of Princeton, N.J., was married Tuesday to Nathan Allison Jr., a son of Yvonne Allison and Mr. Allison Sr. of Burlington, N.J. The Rev. Ellis Holdren, an Episcopal deacon, officiated at the Vitruvian Mansion in Las Vegas. The couple graduated from the University of Pennsylvania, where they met.","Therese Kolata, Nathan Allison Jr.",0
541,"LEVINE--David. He has given us everything we need. A way to start a painting, a way to lose a painting in order to rediscover it, an approach to painting that allows us to live without ego, an example of how a true artist lives a life in art, a way of making art social, a way of finding your subject. We will miss his rich instruction to enjoy the medium, but we will always have his voice saying, ""Play, have fun."" The Painting Group","Paid Notice: Deaths  LEVINE, DAVID",0
543,"IN 1986, fresh out of Columbia University's M.F.A. film program, Josh Goldin moved from his native New York City to Los Angeles, a young screenwriter on the make. Universal had bought a script he'd written with his brother and frequent collaborator, Daniel -- an offbeat comedy called ''Welcome to Buzzsaw'' -- and as it inched towards production, the pair landed a gig on the 1990 action film ''Darkman,'' an early hit for the director Sam Raimi. In 1992 ''Welcome to Buzzsaw'' arrived in theaters, renamed ''Out on a Limb'' and starring Matthew Broderick. ''I was incredibly lucky,'' Josh Goldin said on a recent afternoon, sitting in a downtown Manhattan hotel lounge. And then, for the next 17 years, Mr. Goldin became a ghost. He worked on projects that either never came out or made it to theaters without his name on them. ''I wrote scripts that never went anywhere,'' he said, ''and I did rewrites for projects that looked like they might go somewhere and then didn't.'' He had discovered the depressingly common side of the Hollywood life. ''It's a huge part of the industry, writers who have been working for 10, 15 years who've never gotten a movie made.''",A Long Journey From Obscurity,0
545,To the Editor: Re ''All That Fosse: All Those Echoes of 'All That Jazz' ' by Matt Zoller Seitz [Dec. 27]:,All That Jazz': Other Accolades,0
546,"LAURA GABRIEL looked both perplexed and amused as she strolled last week through the exhibition ''Low Tech ... and That's the Way It Was,'' organized by the Northport Historical Society. For Ms. Gabriel, a 24-year-old Manhattan resident, this was a strange world where tweeting was done by birds and people had photo albums, not Facebook. Asked if she would have been content in such an era, she raised her eyebrows in a you-can't-be-serious look.","Conveniences, Once Upon a Time",0
549,"<!-- MYRILLYN  ZWEIG -->ZWEIG--Myrillyn March, 86, died 20 December in New York City. Your outer beauty was surpassed only by your inner beauty. You were kind and gentle, wise and compassionate--a stand-up person. You were the best mom, and I miss you terribly. Your loving son, Phillip. Donations may be made to Mary Manning Walsh Home or Meals on Wheels.<br><br>
 ","Paid Notice: Deaths  ZWEIG, MYRILLYN ",0
550,"LAURA GABRIEL looked both perplexed and amused as she strolled last week through the exhibition ''Low Tech ... and That's the Way It Was,'' organized by the Northport Historical Society. For Ms. Gabriel, a 24-year-old Manhattan resident, this was a strange world where tweeting was done by birds and people had photo albums, not Facebook. Asked if she would have been content in such an era, she raised her eyebrows in a you-can't-be-serious look.","Conveniences, Once Upon a Time",0
552,To the Editor: Re ''All That Fosse: All Those Echoes of 'All That Jazz' ' by Matt Zoller Seitz [Dec. 27]:,All That Jazz': Other Accolades,0
554,"<!-- MYRILLYN  ZWEIG -->ZWEIG--Myrillyn March, 86, died 20 December in New York City. Your outer beauty was surpassed only by your inner beauty. You were kind and gentle, wise and compassionate--a stand-up person. You were the best mom, and I miss you terribly. Your loving son, Phillip. Donations may be made to Mary Manning Walsh Home or Meals on Wheels.<br><br>
 ","Paid Notice: Deaths  ZWEIG, MYRILLYN ",0
555,"<!-- HERBERT  SPIEGEL -->SPIEGEL--Herbert MD, (June 29, 1914 - December 15, 2009) internationally renowned psychiatrist practicing in New York City, Battalion Surgeon, North Africa, WWII, awarded Purple Heart, teacher of Military Psychiatry, Professor and Special Lecturer at Psychiatric Institute, Columbia University Medical Center and named A Living Treasure for his pioneer work as a clinician, teacher, author and researcher in hypnosis and brief psychotherapy. He is survived by his wife and colleague, Dr. Marcia Greenleaf, his son Dr. David Spiegel, his daughter Dr. Ann Spiegel, their spouses, four grandchildren and extended family. His profound contributions to Psychotherapy will live on through those he taught and those whose lives he touched so deeply.<br><br>
 ","Paid Notice: Deaths  SPIEGEL, HERBERT ",0
556,"<!-- JAMES G DUNAIF -->DUNAIF--James G., died suddenly on December 25, 2009. Born November 10, 1926 in New York City. At the age of 17 he enlisted in the US Merchant Marines and served through the duration of WWII in the North Atlantic. Following his discharge, he worked as a ship sales broker and went on to form his own firm, Cargo Ships and Tankers, Inc., where he owned and operated a fleet of Liberty and Victory ships. Predeceased by parents Charles and Edith, and daughter Audrey. Survived by children Steven (Shari) and Geraldine (Scott) Bethune, grandchildren Jon (Christyn) Bethune, Amy Bethune and Charles C. Dunaif, great-grandson Jackson Bethune. He was loved and will be missed.<br><br>
 ","Paid Notice: Deaths  DUNAIF, JAMES G.",0
557,"<!-- ALFRED  FLUG -->FLUG--Alfred. We enjoyed life with you for over 40 years. Your hand shake and your word was always your bond. You were a good friend to us and we will miss you. Condolences to Robert, Carol and the entire family. Love, Irv and Rae Russo and Family<br><br>
 ","Paid Notice: Deaths  FLUG, ALFRED ",0
558,"<!-- JOAN  KORWIN -->KORWIN--Joan, after a long illness passed away peacefully on December 28, 2009. Beloved wife of the late Michael Korwin. Loving mother of Stacy Marquit and her husband Richard. Cherished grandmother of Amanda and Adam. You will be with us always in our hearts. Services were private.<br><br>
 ","Paid Notice: Deaths  KORWIN, JOAN ",0
559,"KAUFMAN--Joseph L. Our friend and partner whose memory and contribution to our firm, The American Stock Exchange, and the securities industry will live on. All of us were proud to have worked with a special human being who lived by the motto of ""your word is your bond."" He represented the purest form of integrity and honesty. The customer was always treated fairly and with respect. He will be missed. Cohn, Delaire and Kaufman","Paid Notice: Deaths  KAUFMAN, JOSEPH L",0
560,"TRAINS that float on air may be the most famous objects borne by magnetic fields. But magnetic forces can also support other, less visible objects: the spinning shafts, for example, hidden at the mechanical core of industrial equipment like pumps, generators, motors and compressors.",Bearings That Pack a Punch (and Their Own Controls),0
561,"GOLDSTEIN--Lawrence. We mourn the loss of our beloved husband, father, grandfather and friend. He will be missed by his wife Lynne, daughters Amy and Michelle, sons-in-law Steven and Brian, brother-in-law James, and grandchildren Rachel, Allison, Sam and Miles. Services will be held at noon on Monday at Riverside Memorial Chapel, Mount Vernon, NY. In lieu of flowers, please send donations to Memorial Sloan-Kettering, PO Box #","Paid Notice: Deaths  GOLDSTEIN, LAWRENCE",0
