,lead_paragraph,headline,uplifting
983,"Before the Ravens lost to the Patriots on Oct. 4, their offense was being hailed as nearly the explosive equal of the Patriots', which to that point had struggled. The game was close -- a 27-21 Patriots victory -- but it sent Baltimore into a tailspin, largely because of its defense. The Ravens lost three in a row. Their offense has not been the same since, either, scoring big only against leaky defenses like the Lions' and the Bears'. No matter their record, is there any team that makes opponents more nervous in January than the Patriots? New England had looked to be rounding into playoff form, but losing receiver Wes Welker to a season-ending knee injury is devastating. The Ravens can focus on stopping Randy Moss. The Patriots have had problems with their secondary, and the pass rush has been less than effective against elite quarterbacks. If the Patriots can get a lead, Ravens quarterback Joe Flacco will be on the run. Still, this is not the Patriots' best team by a long shot, and even if they get past the Ravens, Indianapolis and San Diego could scorch the secondary.",American Football Conference: Wild-Card Round,0
984,"Knut Haugland, the last surviving member of the six-man crew that sailed on the Kon-Tiki expedition in 1947, and a leader of the Norwegian resistance who helped carry out one of the most daring acts of sabotage of World War II, died in Oslo on Dec. 25. He was 92. His death was confirmed by Maja Bauge, the director of the Kon-Tiki Museum in Oslo.","Knut Haugland, Sailor On Kon-Tiki, Dies at 92",0
985,"Technically, the Jets' Brad Smith is a wide receiver, listed as second on the depth chart behind Braylon Edwards. Perhaps now that the Jets are in the playoffs, they should list Smith in the postseason as ''AP,'' for all purpose.","In Otherwise Conservative Game Plan, an Element of Unpredictability",0
986,"Critics may be at odds about the meaning of Fox's 3-D science-fiction epic ''Avatar,'' but its meaning to the box office is clear: It started the new year at No. 1 in domestic ticket sales. With just over $68 million for the weekend, ''Avatar,'' directed by James Cameron, left (in 3-D specs), finished its first 17 days in theaters with $352.1 million, a record for a film in its third week of release, according to Variety. Robert Downey Jr. and Jude Law helped keep ''Sherlock Holmes'' (Warner Brothers) at No. 2 with a little more than $38 million, bringing its total to about $140.7 million. ''Alvin and the Chipmunks: The Squeakquel'' (Fox) remained at No. 3 in its second week, with $36 million ($157 million, total). Nancy Meyers's romantic comedy ''It's Complicated'' (Universal) finished with $18 million, putting it in fourth place with about $60 million total. And though Sandra Bullock was the top box office draw of 2009, ''The Blind Side'' (Warner Brothers) drew only a little more than $12 million in its seventh week in theaters. Still, it was enough to tip it over the $200 million mark, with $209 million total.",Avatar' On Top Again,0
988,"To the Editor: According to David Leonhardt (''Last Call on Reforming Health Reform Bill,'' Economic Scene, Dec. 23), ''Cadillac'' plans are dispensable because people with such plans end up no healthier than those with ''merely good insurance.''",Defending 'Cadillac' Plans,0
989,"It is easy to take a DVD to a friend's house and watch it on his TV. But things are more complicated when digital video downloads are involved. A movie file bought from Blockbuster.com will not work on a Sony HDTV, for example, and videos from iTunes work only on devices with Apple software. At the Consumer Electronics Show, a big high-tech gathering that will begin Wednesday in Las Vegas, Hollywood studios and consumer electronics makers plan to lay out some steps they are taking to simplify this digital future -- and perhaps stem the worrying decline in home entertainment sales.",Trying to Add Portability To Movie Files,0
990,"Seymour Wittek, a former Coast Guardsman who helped battle a fire that threatened to devastate New York Harbor during World War II, and six decades later gained the recognition he coveted for his unit's heroism, died Wednesday at a hospital in the Bronx. Mr. Wittek, who lived in Ossining, N.Y., was 88. His death was announced by the Coast Guard.","Seymour Wittek, 88, Dies; World War II Hero at Home",0
991,"The Justice Department is weighing whether to ask a federal judge to reduce the jail sentence of a former UBS banker who was a main figure in a wide-ranging tax evasion case against wealthy American clients, a person briefed on the matter said. On Friday, the former banker, Bradley C. Birkenfeld, is scheduled to begin a jail term of three years and four months, several years after he began revealing the details of secret offshore private banking accounts set up by UBS to help clients avoid taxes.",U.S. Is Said to Consider Easing Informant's Term,0
993,"Five days of blizzards and avalanches have paralyzed the Russian island of Sakhalin, cutting off air and sea links to the mainland, stranding dozens of motorists on highways, and burying a train, along with three railway workers, under snow drifts 10 feet deep. Sakhalin, a narrow island off the coast of Siberia and just 25 miles from Japan, holds a distinct and somewhat mysterious place in Russia's history. Used for centuries to house prisoners before the discovery of rich offshore energy fields, huge stretches of it remain sparsely populated, covered with taiga forests of fir and birch. It is frequently buffeted by storms that sweep in from the Pacific.",Harsh Storm Batters Island Off the Coast Of Russia,0
994,"THE INBETWEENS ''Quantum Cowboy'' (Layered) You might hear any number of possible precedents in the music of the Inbetweens, a young but serious guitar-bass-drums trio. ''Quantum Cowboy,'' the band's first album to be released on an actual label -- Layered Music, out of Madison, Wis. -- offhandedly evokes space rock, surf rock, Ethiopian jazz, Ennio Morricone and Tortoise. (There's some overlap there.) What it might suggest most is an update of the trio led in the early 1990s by the guitarist Bill Frisell, with Kermit Driscoll on bass and Joey Baron on drums.",New CDs,0
997,Ahmed Nasser Yemen,"From Around the Globe, Officers Serving New York",0
998,"A view of the day in sports, kicking up sand in South America and cleaning house in Buffalo.",Photo Replay: Jan. 4 ,0
999,"One of Spain's most popular holiday events, the colorful Procession of the Three Kings, will proceed down the Paseo de la Castellana from Nuevos Ministerios to Plaza de Cibeles on Friday between 6:30 p.m. and 9 p.m. It features the elaborately dressed kings, their pages and helpers, who ride on floats distributing sweets to the children lining the route. There are at least 30 carriages, theatrical re-enactments, dancers, musicians, jugglers, street performers, royal pages, giant puppets and many other entertaining characters.According to the Bible, at this time of year, three wise and powerful kings brought gifts of gold, frankincense and myrrh to the infant Jesus. To celebrate the occasion, on Jan. 5, children in Spain go to bed early, awaiting the morning, when they hope to find the presents that they requested of the three kings in letters written on Boxing Day, Dec. 26. They leave shoes on windowsills or balconies or under the Christmas tree to be filled with toys.","Madrid to Celebrate Three Kings, and the Gift of Innocence",1
1000,"Many on-site cafes, geared to serve fitness-conscious exercisers with choices like vegetarian and gluten-free cuisine, are open to nonmembers, too.","At the Gym Site, Food for Fitness Lovers",1
1001,"The recession may have sidelined some buyers in the fund-manager class, but ultraluxury cars are selling like truffle-infused hotcakes.","A Year of Solid Gains, and an Outlook for More Ahead",1
1002,"As a child, John Linehan collected all kinds of pets, including frogs and raccoons. Now he is in charge of Zoo New England and active in wildlife conservation internationally.",From Opossums to Gorillas,1
1003,Going semi-vegan: a resolution with no downside.,"No Meat, No Dairy, No Problem",1
1004,A Jesuit center provides an Arcadian setting for a quick shot of affordable quiet.,"In Pennsylvania, a Quick Shot of Peace, on a Budget",1
